ET,SA,SR,IA,FZ,V,P,REIn,TS,FX,FY,MX,MY,MZ,REOut,RL,T,TX
0,-0.006255599,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-42.98555281,196.96735,-7.334937688,0,-8.370381828,2661.682807,0.193796138,0,0
0,-0.001088258,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-46.85823014,21.18246429,-5.209547738,0,-2.35725875,1653.969025,0.194322513,0,0
0,0.004460866,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-28.86869964,-161.68744,-2.344833909,0,6.588307809,2625.792712,0.19370044,0,0
0,0.009876531,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-42.77126623,-321.0146621,-0.092356441,0,9.528078392,2239.918038,0.192934046,0,0
0,0.015376803,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-38.03586211,-481.0732214,1.738888336,0,14.30462479,2124.333502,0.191495487,0,0
0,0.020832738,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-20.2149104,-638.5073089,3.251840521,0,22.05101349,1644.068339,0.190512906,0,0
0,0.026105621,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-28.83399178,-762.1206956,5.736655746,0,23.58548839,852.2735625,0.191333212,0,0
0,0.031642687,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-31.14162712,-879.6121556,7.392826863,0,24.61459494,1973.949215,0.19054063,0,0
0,0.036883356,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-12.23854043,-1009.430811,7.699596358,0,29.68688974,1632.019956,0.191498365,0,0
0,0.04244364,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-20.21466285,-1123.634259,9.9375152,0,30.38640926,1722.611756,0.19233814,0,0
0,0.048794434,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-17.72541694,-1222.766846,10.84964313,0,33.8602172,1632.169894,0.190496052,0,0
0,0.052477359,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-16.36784177,-1332.204491,12.40420577,0,31.55359069,2232.105365,0.196594238,0,0
0,0.057988088,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-17.93983064,-1413.85692,13.80406139,0,32.34849863,2424.086249,0.19551642,0,0
0,0.064748769,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-9.45521141,-1503.974052,14.65630337,0,35.55564477,1193.103218,0.19435568,0,0
0,0.069345635,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-12.82516639,-1566.192342,15.82570302,0,34.48173223,231.3910322,0.194446167,0,0
0,0.074061028,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-13.20323802,-1619.91524,16.24147718,0,33.15663891,1574.881552,0.193764408,0,0
0,0.081139167,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-10.23394006,-1703.12823,17.00282274,0,32.4278156,1903.045981,0.193699016,0,0
0,0.084150872,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-14.37883125,-1703.193534,18.93339249,0,32.57245155,951.7242244,0.191174415,0,0
0,0.090049236,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-9.858460963,-1779.875325,18.50843222,0,31.97651752,1178.58148,0.192663044,0,0
0,0.097183191,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-7.85124201,-1851.191189,18.89524433,0,29.88237184,1078.543536,0.193588912,0,0
0,0.101746822,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-8.247575164,-1873.326295,19.85336323,0,28.88925676,2248.962228,0.192512072,0,0
0,0.106921501,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-13.62349324,-1886.54106,20.10054028,0,28.09337176,472.1444114,0.189599181,0,0
